alias,market,season,opp_alias,opp_market,win,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,gopp_wins,gopp_losses,gopp_win_pct,gopp_off_ptsperposs,gopp_def_ptsperposs,gopp_net_ptsperposs,gopp_possperg,gopp_adj_off_ptsperposs,gopp_adj_def_ptsperposs,gopp_adj_net_ptsperposs,gopp_adj_possperg,gopp_off_sd,gopp_def_sd,gopp_opp_adj_net_ptsperposs,gopp_seed
MICH,Michigan,2017,HOU,Houston,True,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0,26,7,0.787878788,1.133439801,0.956677088,0.17676271300000002,68.30909091,1.178709287,0.917702536,0.261006752,68.26762052,0.11049481300000001,0.138486244,0.039007231,6.0
SDSU,San Diego State,2017,HOU,Houston,False,22,10,0.6875,1.102320206,0.974439462,0.127880744,70.30625,1.123072431,0.93750638,0.185566051,70.21102695,0.107729955,0.149700157,0.027744167,11.0,26,7,0.787878788,1.133439801,0.956677088,0.17676271300000002,68.30909091,1.178709287,0.917702536,0.261006752,68.26762052,0.11049481300000001,0.138486244,0.039007231,6.0
MICH,Michigan,2017,L-IL,Loyola (IL),True,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0,28,5,0.848484848,1.1098727590000002,0.9413382220000001,0.168534538,65.25454545,1.1482194159999999,0.9072397170000001,0.240979699,63.27301923,0.138252005,0.10241218099999999,-0.006331278,11.0
TENN,Tennessee,2017,L-IL,Loyola (IL),False,25,8,0.757575758,1.101070048,0.983834755,0.11723529199999999,67.4,1.138741233,0.9431469309999999,0.195594302,66.3872525,0.157314579,0.14453315,0.08831251,3.0,28,5,0.848484848,1.1098727590000002,0.9413382220000001,0.168534538,65.25454545,1.1482194159999999,0.9072397170000001,0.240979699,63.27301923,0.138252005,0.10241218099999999,-0.006331278,11.0
MIA,Miami (FL),2017,L-IL,Loyola (IL),False,22,9,0.709677419,1.079545455,0.99612696,0.08341849400000001,68.69677419,1.102871271,0.962297554,0.140573717,68.39401194,0.163097979,0.155986443,0.063845547,6.0,28,5,0.848484848,1.1098727590000002,0.9413382220000001,0.168534538,65.25454545,1.1482194159999999,0.9072397170000001,0.240979699,63.27301923,0.138252005,0.10241218099999999,-0.006331278,11.0
NEV,Nevada,2017,L-IL,Loyola (IL),False,27,7,0.794117647,1.173270205,1.020593081,0.152677124,70.81764706,1.254610518,1.000046684,0.254563834,71.27848724,0.142123196,0.132302723,0.056622026,7.0,28,5,0.848484848,1.1098727590000002,0.9413382220000001,0.168534538,65.25454545,1.1482194159999999,0.9072397170000001,0.240979699,63.27301923,0.138252005,0.10241218099999999,-0.006331278,11.0
UVA,Virginia,2017,UMBC,UMBC,False,31,2,0.939393939,1.1138317009999998,0.880031965,0.233799736,60.64242424,1.1517496790000001,0.802404307,0.34934537200000004,56.43379707,0.126023617,0.130751755,0.088361364,1.0,24,10,0.705882353,1.062759029,1.004764336,0.057994693,69.54705882,1.068361288,0.998460344,0.069900944,69.43651481,0.165310102,0.12735534099999998,-0.052596562,16.0
TXAM,Texas A&M,2017,PROV,Providence,True,20,12,0.625,1.059228529,0.9896340920000001,0.069594436,70.80625,1.064766904,0.95370039,0.111066514,71.11611975,0.137122885,0.139148661,0.096120637,7.0,21,13,0.6176470589999999,1.043731778,1.029926642,0.013805136,70.61764706,1.0412849579999999,1.011195104,0.030089854,70.27140207,0.14108564,0.11862377199999999,0.09888036800000001,10.0
NEV,Nevada,2017,CIN,Cincinnati,True,27,7,0.794117647,1.173270205,1.020593081,0.152677124,70.81764706,1.254610518,1.000046684,0.254563834,71.27848724,0.142123196,0.132302723,0.056622026,7.0,30,4,0.882352941,1.1283422459999999,0.855947137,0.27239510899999997,66.0,1.166911148,0.77860943,0.38830171700000005,64.47251564,0.132467261,0.135980455,0.025776619,2.0
GAST,Georgia State,2017,CIN,Cincinnati,False,24,10,0.705882353,1.094537995,0.9840013759999999,0.110536618,68.81764706,1.127556999,0.965386605,0.162170394,67.87018954,0.13741236099999998,0.162940048,-0.00926681,15.0,30,4,0.882352941,1.1283422459999999,0.855947137,0.27239510899999997,66.0,1.166911148,0.77860943,0.38830171700000005,64.47251564,0.132467261,0.135980455,0.025776619,2.0
